iteration,step,event,timestamp_iso,timestamp_unix
1,pick,start,2025-10-29T14:21:55,1761744115.383
1,pick,end,2025-10-29T14:22:13,1761744133.508
1,walk_to_wall,start,2025-10-29T14:22:13,1761744133.509
1,walk_to_wall,end,2025-10-29T14:22:28,1761744148.894
1,place,start,2025-10-29T14:22:28,1761744148.895
1,place,end,2025-10-29T14:22:39,1761744159.528
1,walk_to_source,start,2025-10-29T14:22:39,1761744159.528
1,walk_to_source,end,2025-10-29T14:22:56,1761744176.606
2,pick,start,2025-10-29T14:22:56,1761744176.607
2,pick,end,2025-10-29T14:23:15,1761744195.663
2,walk_to_wall,start,2025-10-29T14:23:15,1761744195.664
2,walk_to_wall,end,2025-10-29T14:23:31,1761744211.545
2,place,start,2025-10-29T14:23:31,1761744211.545
2,place,end,2025-10-29T14:23:41,1761744221.644
2,walk_to_source,start,2025-10-29T14:23:41,1761744221.645
2,walk_to_source,end,2025-10-29T14:23:58,1761744238.287
3,pick,start,2025-10-29T14:23:58,1761744238.288
3,pick,end,2025-10-29T14:24:19,1761744259.359
3,walk_to_wall,start,2025-10-29T14:24:19,1761744259.360
3,walk_to_wall,end,2025-10-29T14:24:35,1761744275.659
3,place,start,2025-10-29T14:24:35,1761744275.660
3,place,end,2025-10-29T14:24:45,1761744285.645
3,walk_to_source,start,2025-10-29T14:24:45,1761744285.646
3,walk_to_source,end,2025-10-29T14:25:02,1761744302.394
4,pick,start,2025-10-29T14:25:02,1761744302.394
4,pick,end,2025-10-29T14:25:12,1761744312.780
4,walk_to_wall,start,2025-10-29T14:25:12,1761744312.780
4,walk_to_wall,end,2025-10-29T14:25:28,1761744328.764
4,place,start,2025-10-29T14:25:28,1761744328.765
4,place,end,2025-10-29T14:25:38,1761744338.622
4,walk_to_source,start,2025-10-29T14:25:38,1761744338.623
4,walk_to_source,end,2025-10-29T14:25:54,1761744354.458
5,pick,start,2025-10-29T14:25:54,1761744354.458
5,pick,end,2025-10-29T14:26:04,1761744364.624
5,walk_to_wall,start,2025-10-29T14:26:04,1761744364.625
5,walk_to_wall,end,2025-10-29T14:26:20,1761744380.618
5,place,start,2025-10-29T14:26:20,1761744380.619
5,place,end,2025-10-29T14:26:29,1761744389.978
5,walk_to_source,start,2025-10-29T14:26:29,1761744389.979
5,walk_to_source,end,2025-10-29T14:26:45,1761744405.885
6,pick,start,2025-10-29T14:26:45,1761744405.886
6,pick,end,2025-10-29T14:27:08,1761744428.390
6,walk_to_wall,start,2025-10-29T14:27:08,1761744428.391
6,walk_to_wall,end,2025-10-29T14:27:24,1761744444.094
6,place,start,2025-10-29T14:27:24,1761744444.094
6,place,end,2025-10-29T14:27:34,1761744454.483
6,walk_to_source,start,2025-10-29T14:27:34,1761744454.483
6,walk_to_source,end,2025-10-29T14:27:51,1761744471.236
7,pick,start,2025-10-29T14:27:51,1761744471.237
7,pick,end,2025-10-29T14:28:02,1761744482.221
7,walk_to_wall,start,2025-10-29T14:28:02,1761744482.222
7,walk_to_wall,end,2025-10-29T14:28:17,1761744497.994
7,place,start,2025-10-29T14:28:17,1761744497.995
7,place,end,2025-10-29T14:28:28,1761744508.531
7,walk_to_source,start,2025-10-29T14:28:28,1761744508.532
7,walk_to_source,end,2025-10-29T14:28:46,1761744526.306
8,pick,start,2025-10-29T14:28:46,1761744526.307
8,pick,end,2025-10-29T14:29:17,1761744557.682
8,walk_to_wall,start,2025-10-29T14:29:17,1761744557.683
8,walk_to_wall,end,2025-10-29T14:29:33,1761744573.448
8,place,start,2025-10-29T14:29:33,1761744573.448
8,place,end,2025-10-29T14:29:42,1761744582.071
8,walk_to_source,start,2025-10-29T14:29:42,1761744582.071
8,walk_to_source,end,2025-10-29T14:29:56,1761744596.963
9,pick,start,2025-10-29T14:29:56,1761744596.964
9,pick,end,2025-10-29T14:30:14,1761744614.590
9,walk_to_wall,start,2025-10-29T14:30:14,1761744614.591
9,walk_to_wall,end,2025-10-29T14:30:30,1761744630.485
9,place,start,2025-10-29T14:30:30,1761744630.485
9,place,end,2025-10-29T14:30:40,1761744640.168
9,walk_to_source,start,2025-10-29T14:30:40,1761744640.168
9,walk_to_source,end,2025-10-29T14:30:56,1761744656.058
10,pick,start,2025-10-29T14:30:56,1761744656.060
10,pick,end,2025-10-29T14:31:14,1761744674.708
10,walk_to_wall,start,2025-10-29T14:31:14,1761744674.710
10,walk_to_wall,end,2025-10-29T14:31:30,1761744690.815
10,place,start,2025-10-29T14:31:30,1761744690.817
10,place,end,2025-10-29T14:31:40,1761744700.359
10,walk_to_source,start,2025-10-29T14:31:40,1761744700.360
10,walk_to_source,end,2025-10-29T14:31:56,1761744716.280
11,pick,start,2025-10-29T14:31:56,1761744716.280
11,pick,end,2025-10-29T14:32:40,1761744760.226
11,walk_to_wall,start,2025-10-29T14:32:40,1761744760.227
11,walk_to_wall,end,2025-10-29T14:32:56,1761744776.291
11,place,start,2025-10-29T14:32:56,1761744776.291
11,place,end,2025-10-29T14:33:06,1761744786.534
11,walk_to_source,start,2025-10-29T14:33:06,1761744786.534
11,walk_to_source,end,2025-10-29T14:33:23,1761744803.439
12,pick,start,2025-10-29T14:33:23,1761744803.441
12,pick,end,2025-10-29T14:33:33,1761744813.118
12,walk_to_wall,start,2025-10-29T14:33:33,1761744813.118
12,walk_to_wall,end,2025-10-29T14:33:49,1761744829.030
12,place,start,2025-10-29T14:33:49,1761744829.032
12,place,end,2025-10-29T14:33:57,1761744837.612
12,walk_to_source,start,2025-10-29T14:33:57,1761744837.612
12,walk_to_source,end,2025-10-29T14:34:13,1761744853.415
13,pick,start,2025-10-29T14:34:13,1761744853.417
13,pick,end,2025-10-29T14:34:22,1761744862.928
13,walk_to_wall,start,2025-10-29T14:34:22,1761744862.928
13,walk_to_wall,end,2025-10-29T14:34:39,1761744879.007
13,place,start,2025-10-29T14:34:39,1761744879.007
13,place,end,2025-10-29T14:34:48,1761744888.861
13,walk_to_source,start,2025-10-29T14:34:48,1761744888.862
13,walk_to_source,end,2025-10-29T14:34:53,1761744893.053
