iteration,step,event,timestamp_iso,timestamp_unix
1,pick,start,2025-10-28T19:39:13,1761676753.208
1,pick,end,2025-10-28T19:39:22,1761676762.796
1,walk_to_wall,start,2025-10-28T19:39:22,1761676762.796
1,walk_to_wall,end,2025-10-28T19:39:39,1761676779.385
1,place,start,2025-10-28T19:39:39,1761676779.385
1,place,end,2025-10-28T19:39:49,1761676789.889
1,walk_to_source,start,2025-10-28T19:39:49,1761676789.889
1,walk_to_source,end,2025-10-28T19:40:06,1761676806.597
2,pick,start,2025-10-28T19:40:06,1761676806.611
2,pick,end,2025-10-28T19:40:16,1761676816.055
2,walk_to_wall,start,2025-10-28T19:40:16,1761676816.055
2,walk_to_wall,end,2025-10-28T19:40:31,1761676831.576
2,place,start,2025-10-28T19:40:31,1761676831.577
2,place,end,2025-10-28T19:40:41,1761676841.815
2,walk_to_source,start,2025-10-28T19:40:41,1761676841.815
2,walk_to_source,end,2025-10-28T19:40:58,1761676858.256
3,pick,start,2025-10-28T19:40:58,1761676858.256
3,pick,end,2025-10-28T19:41:07,1761676867.180
3,walk_to_wall,start,2025-10-28T19:41:07,1761676867.180
3,walk_to_wall,end,2025-10-28T19:41:22,1761676882.752
3,place,start,2025-10-28T19:41:22,1761676882.752
3,place,end,2025-10-28T19:41:33,1761676893.331
3,walk_to_source,start,2025-10-28T19:41:33,1761676893.331
3,walk_to_source,end,2025-10-28T19:41:49,1761676909.752
4,pick,start,2025-10-28T19:41:49,1761676909.752
4,pick,end,2025-10-28T19:41:59,1761676919.564
4,walk_to_wall,start,2025-10-28T19:41:59,1761676919.564
4,walk_to_wall,end,2025-10-28T19:42:16,1761676936.130
4,place,start,2025-10-28T19:42:16,1761676936.130
4,place,end,2025-10-28T19:42:25,1761676945.476
4,walk_to_source,start,2025-10-28T19:42:25,1761676945.478
4,walk_to_source,end,2025-10-28T19:42:40,1761676960.887
5,pick,start,2025-10-28T19:42:40,1761676960.887
5,pick,end,2025-10-28T19:42:49,1761676969.971
5,walk_to_wall,start,2025-10-28T19:42:49,1761676969.971
5,walk_to_wall,end,2025-10-28T19:43:05,1761676985.493
5,place,start,2025-10-28T19:43:05,1761676985.493
5,place,end,2025-10-28T19:43:14,1761676994.482
5,walk_to_source,start,2025-10-28T19:43:14,1761676994.482
5,walk_to_source,end,2025-10-28T19:43:30,1761677010.021
6,pick,start,2025-10-28T19:43:30,1761677010.021
6,pick,end,2025-10-28T19:43:39,1761677019.572
6,walk_to_wall,start,2025-10-28T19:43:39,1761677019.572
6,walk_to_wall,end,2025-10-28T19:43:56,1761677036.112
6,place,start,2025-10-28T19:43:56,1761677036.113
6,place,end,2025-10-28T19:44:06,1761677046.342
6,walk_to_source,start,2025-10-28T19:44:06,1761677046.342
6,walk_to_source,end,2025-10-28T19:44:22,1761677062.791
7,pick,start,2025-10-28T19:44:22,1761677062.791
7,pick,end,2025-10-28T19:44:32,1761677072.034
7,walk_to_wall,start,2025-10-28T19:44:32,1761677072.034
7,walk_to_wall,end,2025-10-28T19:44:47,1761677087.571
7,place,start,2025-10-28T19:44:47,1761677087.571
7,place,end,2025-10-28T19:44:58,1761677098.375
7,walk_to_source,start,2025-10-28T19:44:58,1761677098.375
7,walk_to_source,end,2025-10-28T19:45:16,1761677116.077
8,pick,start,2025-10-28T19:45:16,1761677116.077
8,pick,end,2025-10-28T19:45:25,1761677125.689
8,walk_to_wall,start,2025-10-28T19:45:25,1761677125.689
8,walk_to_wall,end,2025-10-28T19:45:42,1761677142.254
8,place,start,2025-10-28T19:45:42,1761677142.255
8,place,end,2025-10-28T19:45:50,1761677150.846
8,walk_to_source,start,2025-10-28T19:45:50,1761677150.846
8,walk_to_source,end,2025-10-28T19:46:06,1761677166.350
9,pick,start,2025-10-28T19:46:06,1761677166.350
9,pick,end,2025-10-28T19:46:16,1761677176.049
9,walk_to_wall,start,2025-10-28T19:46:16,1761677176.050
9,walk_to_wall,end,2025-10-28T19:46:32,1761677192.629
9,place,start,2025-10-28T19:46:32,1761677192.629
9,place,end,2025-10-28T19:46:42,1761677202.555
9,walk_to_source,start,2025-10-28T19:46:42,1761677202.555
9,walk_to_source,end,2025-10-28T19:46:59,1761677219.064
10,pick,start,2025-10-28T19:46:59,1761677219.064
10,pick,end,2025-10-28T19:47:08,1761677228.794
10,walk_to_wall,start,2025-10-28T19:47:08,1761677228.794
10,walk_to_wall,end,2025-10-28T19:47:25,1761677245.345
10,place,start,2025-10-28T19:47:25,1761677245.345
10,place,end,2025-10-28T19:47:34,1761677254.524
10,walk_to_source,start,2025-10-28T19:47:34,1761677254.524
10,walk_to_source,end,2025-10-28T19:47:50,1761677270.106
11,pick,start,2025-10-28T19:47:50,1761677270.106
11,pick,end,2025-10-28T19:47:59,1761677279.641
11,walk_to_wall,start,2025-10-28T19:47:59,1761677279.641
11,walk_to_wall,end,2025-10-28T19:48:16,1761677296.258
11,place,start,2025-10-28T19:48:16,1761677296.258
11,place,end,2025-10-28T19:48:26,1761677306.451
11,walk_to_source,start,2025-10-28T19:48:26,1761677306.451
11,walk_to_source,end,2025-10-28T19:48:42,1761677322.861
12,pick,start,2025-10-28T19:48:42,1761677322.861
12,pick,end,2025-10-28T19:48:52,1761677332.337
12,walk_to_wall,start,2025-10-28T19:48:52,1761677332.337
12,walk_to_wall,end,2025-10-28T19:49:07,1761677347.981
12,place,start,2025-10-28T19:49:07,1761677347.983
12,place,end,2025-10-28T19:49:17,1761677357.191
12,walk_to_source,start,2025-10-28T19:49:17,1761677357.191
12,walk_to_source,end,2025-10-28T19:49:32,1761677372.651
13,pick,start,2025-10-28T19:49:32,1761677372.651
13,pick,end,2025-10-28T19:49:42,1761677382.129
13,walk_to_wall,start,2025-10-28T19:49:42,1761677382.129
13,walk_to_wall,end,2025-10-28T19:49:58,1761677398.730
13,place,start,2025-10-28T19:49:58,1761677398.730
13,place,end,2025-10-28T19:50:08,1761677408.565
13,walk_to_source,start,2025-10-28T19:50:08,1761677408.565
13,walk_to_source,end,2025-10-28T19:50:25,1761677425.088
14,pick,start,2025-10-28T19:50:25,1761677425.088
14,pick,end,2025-10-28T19:50:35,1761677435.344
14,walk_to_wall,start,2025-10-28T19:50:35,1761677435.344
14,walk_to_wall,end,2025-10-28T19:50:50,1761677450.744
14,place,start,2025-10-28T19:50:50,1761677450.744
14,place,end,2025-10-28T19:50:59,1761677459.484
14,walk_to_source,start,2025-10-28T19:50:59,1761677459.484
14,walk_to_source,end,2025-10-28T19:51:16,1761677476.031
