iteration,step,event,timestamp_iso,timestamp_unix
1,pick,start,2025-10-28T14:34:17,1761658457.726
1,pick,end,2025-10-28T14:34:26,1761658466.113
1,walk_to_wall,start,2025-10-28T14:34:26,1761658466.113
1,walk_to_wall,end,2025-10-28T14:34:41,1761658481.789
1,place,start,2025-10-28T14:34:41,1761658481.789
1,place,end,2025-10-28T14:34:51,1761658491.845
1,walk_to_source,start,2025-10-28T14:34:51,1761658491.845
1,walk_to_source,end,2025-10-28T14:35:10,1761658510.520
2,pick,start,2025-10-28T14:35:10,1761658510.520
2,pick,end,2025-10-28T14:35:20,1761658520.556
2,walk_to_wall,start,2025-10-28T14:35:20,1761658520.557
2,walk_to_wall,end,2025-10-28T14:35:36,1761658536.064
2,place,start,2025-10-28T14:35:36,1761658536.064
