iteration,step,event,timestamp_iso,timestamp_unix
1,pick,start,2025-10-28T17:15:01,1761668101.579
1,pick,end,2025-10-28T17:15:11,1761668111.105
1,walk_to_wall,start,2025-10-28T17:15:11,1761668111.105
1,walk_to_wall,end,2025-10-28T17:15:26,1761668126.670
1,place,start,2025-10-28T17:15:26,1761668126.670
1,place,end,2025-10-28T17:15:36,1761668136.792
1,walk_to_source,start,2025-10-28T17:15:36,1761668136.792
1,walk_to_source,end,2025-10-28T17:15:54,1761668154.375
2,pick,start,2025-10-28T17:15:54,1761668154.375
2,pick,end,2025-10-28T17:16:03,1761668163.907
2,walk_to_wall,start,2025-10-28T17:16:03,1761668163.921
2,walk_to_wall,end,2025-10-28T17:16:20,1761668180.490
2,place,start,2025-10-28T17:16:20,1761668180.490
2,place,end,2025-10-28T17:16:30,1761668190.859
2,walk_to_source,start,2025-10-28T17:16:30,1761668190.859
2,walk_to_source,end,2025-10-28T17:16:47,1761668207.505
3,pick,start,2025-10-28T17:16:47,1761668207.505
3,pick,end,2025-10-28T17:16:56,1761668216.867
3,walk_to_wall,start,2025-10-28T17:16:56,1761668216.867
3,walk_to_wall,end,2025-10-28T17:17:12,1761668232.400
3,place,start,2025-10-28T17:17:12,1761668232.400
3,place,end,2025-10-28T17:17:22,1761668242.623
3,walk_to_source,start,2025-10-28T17:17:22,1761668242.623
3,walk_to_source,end,2025-10-28T17:17:39,1761668259.143
4,pick,start,2025-10-28T17:17:39,1761668259.143
4,pick,end,2025-10-28T17:17:48,1761668268.920
4,walk_to_wall,start,2025-10-28T17:17:48,1761668268.920
4,walk_to_wall,end,2025-10-28T17:18:05,1761668285.512
4,place,start,2025-10-28T17:18:05,1761668285.512
4,place,end,2025-10-28T17:18:15,1761668295.100
4,walk_to_source,start,2025-10-28T17:18:15,1761668295.101
4,walk_to_source,end,2025-10-28T17:18:31,1761668311.697
5,pick,start,2025-10-28T17:18:31,1761668311.697
5,pick,end,2025-10-28T17:18:41,1761668321.225
5,walk_to_wall,start,2025-10-28T17:18:41,1761668321.225
5,walk_to_wall,end,2025-10-28T17:18:58,1761668338.048
5,place,start,2025-10-28T17:18:58,1761668338.048
5,place,end,2025-10-28T17:19:07,1761668347.071
5,walk_to_source,start,2025-10-28T17:19:07,1761668347.071
5,walk_to_source,end,2025-10-28T17:19:23,1761668363.671
6,pick,start,2025-10-28T17:19:23,1761668363.671
6,pick,end,2025-10-28T17:19:33,1761668373.663
6,walk_to_wall,start,2025-10-28T17:19:33,1761668373.663
6,walk_to_wall,end,2025-10-28T17:19:49,1761668389.283
6,place,start,2025-10-28T17:19:49,1761668389.283
6,place,end,2025-10-28T17:19:59,1761668399.571
6,walk_to_source,start,2025-10-28T17:19:59,1761668399.571
6,walk_to_source,end,2025-10-28T17:20:16,1761668416.179
7,pick,start,2025-10-28T17:20:16,1761668416.179
7,pick,end,2025-10-28T17:20:25,1761668425.458
7,walk_to_wall,start,2025-10-28T17:20:25,1761668425.458
7,walk_to_wall,end,2025-10-28T17:20:41,1761668441.201
7,place,start,2025-10-28T17:20:41,1761668441.201
7,place,end,2025-10-28T17:20:51,1761668451.988
7,walk_to_source,start,2025-10-28T17:20:51,1761668451.988
7,walk_to_source,end,2025-10-28T17:21:08,1761668468.627
8,pick,start,2025-10-28T17:21:08,1761668468.627
8,pick,end,2025-10-28T17:21:18,1761668478.568
8,walk_to_wall,start,2025-10-28T17:21:18,1761668478.568
8,walk_to_wall,end,2025-10-28T17:21:35,1761668495.184
8,place,start,2025-10-28T17:21:35,1761668495.184
8,place,end,2025-10-28T17:21:43,1761668503.832
8,walk_to_source,start,2025-10-28T17:21:43,1761668503.832
8,walk_to_source,end,2025-10-28T17:21:59,1761668519.542
9,pick,start,2025-10-28T17:21:59,1761668519.542
9,pick,end,2025-10-28T17:22:08,1761668528.783
9,walk_to_wall,start,2025-10-28T17:22:08,1761668528.783
9,walk_to_wall,end,2025-10-28T17:22:24,1761668544.329
9,place,start,2025-10-28T17:22:24,1761668544.329
9,place,end,2025-10-28T17:22:34,1761668554.492
9,walk_to_source,start,2025-10-28T17:22:34,1761668554.494
9,walk_to_source,end,2025-10-28T17:22:50,1761668570.993
10,pick,start,2025-10-28T17:22:50,1761668570.993
10,pick,end,2025-10-28T17:23:01,1761668581.368
10,walk_to_wall,start,2025-10-28T17:23:01,1761668581.368
10,walk_to_wall,end,2025-10-28T17:23:18,1761668598.097
10,place,start,2025-10-28T17:23:18,1761668598.098
10,place,end,2025-10-28T17:23:27,1761668607.329
10,walk_to_source,start,2025-10-28T17:23:27,1761668607.329
10,walk_to_source,end,2025-10-28T17:23:42,1761668622.867
11,pick,start,2025-10-28T17:23:42,1761668622.869
11,pick,end,2025-10-28T17:23:52,1761668632.727
11,walk_to_wall,start,2025-10-28T17:23:52,1761668632.727
11,walk_to_wall,end,2025-10-28T17:24:08,1761668648.336
11,place,start,2025-10-28T17:24:08,1761668648.336
11,place,end,2025-10-28T17:24:18,1761668658.341
11,walk_to_source,start,2025-10-28T17:24:18,1761668658.341
11,walk_to_source,end,2025-10-28T17:24:34,1761668674.889
12,pick,start,2025-10-28T17:24:34,1761668674.891
12,pick,end,2025-10-28T17:24:45,1761668685.137
12,walk_to_wall,start,2025-10-28T17:24:45,1761668685.137
12,walk_to_wall,end,2025-10-28T17:25:00,1761668700.733
12,place,start,2025-10-28T17:25:00,1761668700.733
12,place,end,2025-10-28T17:25:09,1761668709.936
12,walk_to_source,start,2025-10-28T17:25:09,1761668709.936
12,walk_to_source,end,2025-10-28T17:25:25,1761668725.496
13,pick,start,2025-10-28T17:25:25,1761668725.496
13,pick,end,2025-10-28T17:25:35,1761668735.274
13,walk_to_wall,start,2025-10-28T17:25:35,1761668735.274
13,walk_to_wall,end,2025-10-28T17:25:51,1761668751.002
13,place,start,2025-10-28T17:25:51,1761668751.004
13,place,end,2025-10-28T17:26:00,1761668760.644
13,walk_to_source,start,2025-10-28T17:26:00,1761668760.644
13,walk_to_source,end,2025-10-28T17:26:17,1761668777.177
14,pick,start,2025-10-28T17:26:17,1761668777.177
14,pick,end,2025-10-28T17:26:27,1761668787.624
14,walk_to_wall,start,2025-10-28T17:26:27,1761668787.624
14,walk_to_wall,end,2025-10-28T17:26:43,1761668803.235
14,place,start,2025-10-28T17:26:43,1761668803.235
14,place,end,2025-10-28T17:26:52,1761668812.535
14,walk_to_source,start,2025-10-28T17:26:52,1761668812.535
14,walk_to_source,end,2025-10-28T17:27:08,1761668828.012
